,path,name,country,culture,dateFrom,dateTo,economic,group,language,polalign,source,url
46,/Event/369326488/369616726/370865571,370865571,,,2016-01-30T10:59:00,2016-02-01T12:34:00,,369326488,,,bleacherreport.com,
47,/Event/369326488/369616726/370839815,370839815,United-States,C4,2016-01-30T10:59:00,2016-02-01T13:38:00,C2,369326488,unknown,unknown,sportingnews.com,unknown
48,/Event/369326488/369616726/370962659,370962659,,,2016-01-30T10:59:00,2016-02-01T16:20:00,,369326488,,,si.com,
49,/Event/369326488/369616726/371297521,371297521,,,2016-01-30T10:59:00,2016-02-01T23:22:00,,369326488,,,bleacherreport.com,
50,/Event/369326488/369616726/371404461,371404461,United-States,C4,2016-01-30T10:59:00,2016-02-02T04:08:00,C2,369326488,unknown,unknown,espn.go.com,unknown
51,/Event/369326488/369616726/371380602,371380602,United-States,C4,2016-01-30T10:59:00,2016-02-02T04:31:00,C2,369326488,unknown,unknown,wdsu.com,unknown
52,/Event/369326488/369616726/371383326,371383326,,,2016-01-30T10:59:00,2016-02-02T04:49:00,,369326488,,,mountainjackpot.com,
53,/Event/369326488/369616726/371738327,371738327,United-States,C4,2016-01-30T10:59:00,2016-02-02T12:08:00,C2,369326488,unknown,unknown,cbssports.com,unknown
54,/Event/369326488/369616726/371741817,371741817,,,2016-01-30T10:59:00,2016-02-02T14:10:00,,369326488,,,theguardian.com,
55,/Event/369326488/369616726/371841928,371841928,United-States,C4,2016-01-30T10:59:00,2016-02-02T14:11:00,C2,369326488,unknown,unknown,cbssports.com,unknown
56,/Event/369326488/369616726/371740326,371740326,United-States,C4,2016-01-30T10:59:00,2016-02-02T14:20:00,C2,369326488,unknown,unknown,chicagotribune.com,unknown
57,/Event/369326488/369616726/371780643,371780643,,,2016-01-30T10:59:00,2016-02-02T15:00:00,,369326488,,,sbnation.com,
58,/Event/369326488/369616726/371893919,371893919,,,2016-01-30T10:59:00,2016-02-02T15:38:00,,369326488,,,nfl.com,
59,/Event/369326488/369616726/371830518,371830518,United-States,C4,2016-01-30T10:59:00,2016-02-02T16:22:00,C2,369326488,unknown,unknown,fansided.com,unknown
