,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,linguisticblocs,politicalregionalblocs,economicblocs,militarydefenseblocs
27,/Event/7431873224/7431884582/7434524269,7434524269,,PK,C20,2023-03-05T15:46:00,2023-03-07T10:08:00,C5,7431873224,eng,,arynews.tv,,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7431873224/7431884582/7434616699,7434616699,,,,2023-03-05T15:46:00,2023-03-07T11:10:00,,7431873224,eng,,app.com.pk,,,,,,,,,,,,,,,,,,,,,,,,,
29,/Event/7431873224/7431884582/7434767662,7434767662,,IN,C18,2023-03-05T15:46:00,2023-03-07T12:51:00,C17,7431873224,eng,,news.abplive.com,,AS,Hindu,,,,,,,,,,,,,,,,,,,,,,
30,/Event/7431873224/7431884582/7434857340,7434857340,,,,2023-03-05T15:46:00,2023-03-07T13:51:00,,7431873224,eng,,en.neonetwork.pk,,,,,,,,,,,,,,,,,,,,,,,,,
31,/Event/7431873224/7431884582/7435064279,7435064279,,PK,C20,2023-03-05T15:46:00,2023-03-07T16:10:00,C5,7431873224,eng,Center,pakistantoday.com.pk,ChatGPT,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
32,/Event/7431873224/7431884582/7435145422,7435145422,,IN,C18,2023-03-05T15:46:00,2023-03-07T17:10:00,C17,7431873224,eng,,republicworld.com,,AS,Hindu,,,,,,,,,,,,,,,,,,,,,,
33,/Event/7431873224/7431884582/7435172100,7435172100,,PK,C20,2023-03-05T15:46:00,2023-03-07T17:31:00,C5,7431873224,eng,,24newshd.tv,,AS,Muslim,,,,,,,,,,,,,,,,,,,,,,
34,/Event/7431873224/7431884582/7435308261,7435308261,,IN,C18,2023-03-05T15:46:00,2023-03-07T19:25:00,C17,7431873224,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,AS,Hindu,,,,,,,,,,,,,,,,,,,,,,
35,/Event/7431873224/7431884582/7435545337,7435545337,,,,2023-03-05T15:46:00,2023-03-07T22:47:00,,7431873224,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
36,/Event/7431873224/7431884582/7435544995,7435544995,,,,2023-03-05T15:46:00,2023-03-07T23:02:00,,7431873224,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
37,/Event/7431873224/7431884582/7435544756,7435544756,,,,2023-03-05T15:46:00,2023-03-07T23:15:00,,7431873224,eng,,urdupoint.com,,,,,,,,,,,,,,,,,,,,,,,,,
38,/Event/7431873224/7431884582/7435718515,7435718515,,,,2023-03-05T15:46:00,2023-03-08T01:38:00,,7431873224,eng,,moneycontrol.com,,,,,,,,,,,,,,,,,,,,,,,,,
