,path,name,continent,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,religions,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
77,/Event/793111026/793820137/794218430,794218430,,,,2018-01-14T23:38:00,2018-01-15T13:21:00,,793111026,zho,,chinanews.com,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,,,,,
78,/Event/793111026/793820272,793820272,AS,CN,C18,2018-01-13T08:18:00,2018-01-14T23:43:00,C9,793111026,zho,,xinhuanet.com,,138.0,78.0,162.0,146.0,58.0,41.0,40.0,129.0,81.0,14.0,102.0,43.0,158.0,165.0,58.0,130.0,122.0,59.0,Irreligion,,,,
79,/Event/793111026/793820272/793976602,793976602,AS,CN,C18,2018-01-14T23:43:00,2018-01-15T05:06:00,C9,793111026,zho,,xinhuanet.com,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
80,/Event/793111026/793820272/793976602/794340366,794340366,AS,CN,C18,2018-01-15T05:06:00,2018-01-15T16:58:00,C9,793111026,zho,,xinhuanet.com,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
81,/Event/793111026/793820272/794025670,794025670,AS,CN,C18,2018-01-14T23:43:00,2018-01-15T07:12:00,C9,793111026,zho,,news.sina.com.cn,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
82,/Event/793114153,793114153,,,,2018-01-13T08:27:00,2018-01-13T08:27:00,,0,eng,,colombopage.com,,,,,,,,,,,,,,,,,,,,,,,,
83,/Event/793114153/793819645,793819645,AS,CN,C18,2018-01-13T08:27:00,2018-01-14T23:38:00,C9,793114153,zho,,xinhuanet.com,,,,,,,,,,,,,,,,,,,,Irreligion,,,,
84,/Event/793114153/793819645/793820037,793820037,AS,CN,C18,2018-01-14T23:38:00,2018-01-14T23:53:00,C9,793114153,zho,,xinhuanet.com,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
85,/Event/793161604,793161604,,,,2018-01-13T10:47:00,2018-01-13T10:47:00,,0,rus,,svodka.net,,,,,,,,,,,,,,,,,,,,,,,,
86,/Event/793161604/793545964,793545964,,,,2018-01-13T10:47:00,2018-01-14T08:13:00,,793161604,rus,,gazeta.ru,,,,,,,,,,,,,,,,,,,,,,,,
87,/Event/793820148,793820148,AS,CN,C18,2018-01-14T22:39:00,2018-01-14T22:39:00,C9,0,zho,,xinhuanet.com,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
88,/Event/793902826,793902826,AS,CN,C18,2018-01-15T01:00:00,2018-01-15T01:00:00,C9,0,zho,,news.sina.com.cn,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
89,/Event/793902826/793903861,793903861,AS,CN,C18,2018-01-15T01:00:00,2018-01-15T01:03:00,C9,793902826,zho,,mil.news.sina.com.cn,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0,Irreligion,,,,
