,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,linguisticblocs,militarydefenseblocs,religions,economicblocs,politicalregionalblocs
25,/Event/7428909703/7433122903/7434433826,7434433826,,UK,C4,2023-03-06T12:48:00,2023-03-07T09:06:00,C2,7428909703,eng,Conservative-Populism-Euroscepticism,thescottishsun.co.uk,https:en.wikipedia.orgwikiThe_Sun_(United_Kingdom),,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
26,/Event/7428909703/7433122903/7434559374,7434559374,,UK,C4,2023-03-06T12:48:00,2023-03-07T10:31:00,C2,7428909703,eng,,walesonline.co.uk,,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
27,/Event/7428909703/7433122903/7434576720,7434576720,,,,2023-03-06T12:48:00,2023-03-07T10:43:00,,7428909703,eng,,heraldscotland.com,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7428909703/7433122903/7434597027,7434597027,,UK,C4,2023-03-06T12:48:00,2023-03-07T10:57:00,C2,7428909703,eng,,birminghammail.co.uk,,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
29,/Event/7428909703/7433444998,7433444998,United-Kingdom,UK,C4,2023-03-03T11:11:00,2023-03-06T16:24:00,C2,7428909703,eng,,thecourier.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
30,/Event/7428909703/7433444998/7434271689,7434271689,United-Kingdom,,,2023-03-06T16:24:00,2023-03-07T07:01:00,,7428909703,eng,,thesun.ie,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
31,/Event/7428909703/7433444998/7434271689/7434341091,7434341091,,UK,C4,2023-03-07T07:01:00,2023-03-07T07:57:00,C2,7428909703,eng,Center,independent.co.uk,ChatGPT,,,,,,,,,,,,,,,,,,,EU,Eng,NATO,Christian,,
32,/Event/7428909703/7433444998/7434271949,7434271949,United-Kingdom,UK,C4,2023-03-06T16:24:00,2023-03-07T07:01:00,C2,7428909703,eng,Conservative-Populism-Euroscepticism,thescottishsun.co.uk,https:en.wikipedia.orgwikiThe_Sun_(United_Kingdom),best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
33,/Event/7428909703/7433444998/7434482699,7434482699,United-Kingdom,UK,C4,2023-03-06T16:24:00,2023-03-07T09:40:00,C2,7428909703,eng,,theboltonnews.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
34,/Event/7428909703/7433880776,7433880776,United-Kingdom,UK,C4,2023-03-03T11:11:00,2023-03-06T23:15:00,C2,7428909703,eng,Conservative-Populism-Euroscepticism,thescottishsun.co.uk,https:en.wikipedia.orgwikiThe_Sun_(United_Kingdom),best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
35,/Event/7428909703/7433880776/7434329523,7434329523,United-Kingdom,UK,C4,2023-03-06T23:15:00,2023-03-07T07:48:00,C2,7428909703,eng,Conservative-Populism-Euroscepticism,thescottishsun.co.uk,https:en.wikipedia.orgwikiThe_Sun_(United_Kingdom),best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
36,/Event/7428909703/7433880776/7434341150,7434341150,United-Kingdom,UK,,2023-03-06T23:15:00,2023-03-07T07:57:00,,7428909703,eng,,ross-shirejournal.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
37,/Event/7428909703/7434542088,7434542088,United-Kingdom,UK,C4,2023-03-03T11:11:00,2023-03-07T10:20:00,C2,7428909703,eng,,dailyrecord.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
38,/Event/7431746161,7431746161,United-Kingdom,UK,C4,2023-03-05T13:26:00,2023-03-05T13:26:00,C2,0,eng,Center,independent.co.uk,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
39,/Event/7431746161/7431916570,7431916570,United-Kingdom,UK,C4,2023-03-05T13:26:00,2023-03-05T16:19:00,C2,7431746161,eng,,mirror.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
40,/Event/7431746161/7431916570/7431982131,7431982131,United-Kingdom,UK,C4,2023-03-05T16:19:00,2023-03-05T17:27:00,C2,7431746161,eng,,thenorthernecho.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
41,/Event/7431746161/7431916570/7431982131/7432074835,7432074835,United-Kingdom,,,2023-03-05T17:27:00,2023-03-05T19:09:00,,7431746161,eng,,rocketnews.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
42,/Event/7431746161/7431916570/7431982131/7434270737,7434270737,United-Kingdom,UK,C4,2023-03-05T17:27:00,2023-03-07T07:00:00,C2,7431746161,eng,,thenorthernecho.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
43,/Event/7431746161/7431916570/7432001257,7432001257,United-Kingdom,UK,C4,2023-03-05T16:19:00,2023-03-05T17:49:00,C2,7431746161,eng,,news.sky.com,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
44,/Event/7431746161/7431916570/7432001257/7434475165,7434475165,United-Kingdom,,,2023-03-05T17:49:00,2023-03-07T09:34:00,,7431746161,eng,,lincolnshirelive.co.uk,,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,,,,,,
45,/Event/7431746161/7431916570/7432012254,7432012254,United-Kingdom,UK,C4,2023-03-05T16:19:00,2023-03-05T18:01:00,C2,7431746161,eng,Center-left,theguardian.com,ChatGPT,best,best,best,best,best,high,high,best,best,high,best,high,best,best,low,best,best,low,EU,Eng,NATO,Christian,,
