,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,economicblocs,religions,linguisticblocs,militarydefenseblocs,politicalregionalblocs,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance
43,/Event/7443550343/7443656632/7445614703,7445614703,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-14T03:25:00,C17,7443550343,eng,,newindianexpress.com,,AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
44,/Event/7443550343/7443656632/7446100659,7446100659,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-14T09:54:00,C17,7443550343,eng,,news.abplive.com,,AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
45,/Event/7443550343/7443656632/7446118616,7446118616,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-14T10:04:00,C17,7443550343,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
46,/Event/7443550343/7443656632/7446121523,7446121523,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-14T10:06:00,C17,7443550343,eng,,newsable.asianetnews.com,,AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
47,/Event/7443550343/7443656632/7446165624,7446165624,United-Kingdom,,,2023-03-13T00:03:00,2023-03-14T10:32:00,,7443550343,eng,,ca.sports.yahoo.com,,,,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
48,/Event/7443550343/7443656632/7446479866,7446479866,United-Kingdom,,,2023-03-13T00:03:00,2023-03-14T13:39:00,,7443550343,eng,,indiatoday.in,,,,,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
49,/Event/7443550343/7443656632/7446589406,7446589406,United-Kingdom,KE,C20,2023-03-13T00:03:00,2023-03-14T14:45:00,C17,7443550343,eng,Independent,the-star.co.ke,ChatGPT,AF,AfCFTA,Christian,,,AU,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
50,/Event/7443550343/7443656632/7447735886,7447735886,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-15T07:37:00,C17,7443550343,eng,,timesnownews.com,,AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
51,/Event/7443550343/7443656632/7447735886/7447874041,7447874041,India,IN,C18,2023-03-15T07:37:00,2023-03-15T09:08:00,C17,7443550343,eng,,timesnownews.com,,AS,,Hindu,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
52,/Event/7443550343/7443656632/7448359020,7448359020,United-Kingdom,IN,C18,2023-03-13T00:03:00,2023-03-15T13:58:00,C17,7443550343,eng,fiscally-conservative-socially-liberal,livemint.com,https:en.wikipedia.orgwikiMint_(newspaper),AS,,Hindu,,,,15.0,14.0,10.0,15.0,34.0,89.0,69.0,10.0,9.0,51.0,12.0,66.0,22.0,17.0,35.0,21.0,15.0,35.0
53,/Event/7443550343/7443660802,7443660802,,,,2023-03-12T21:44:00,2023-03-13T00:15:00,,7443550343,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
54,/Event/7443550343/7443660802/7449115330,7449115330,,USA,C4,2023-03-13T00:15:00,2023-03-15T23:42:00,C2,7443550343,eng,Center-left,breitbart.com,ChatGPT,,NAFTA,Christian,Eng,NATO,,,,,,,,,,,,,,,,,,,
55,/Event/7443550343/7443711199,7443711199,,,,2023-03-12T21:44:00,2023-03-13T01:08:00,,7443550343,eng,,rferl.org,,,,,,,,,,,,,,,,,,,,,,,,,
56,/Event/7443550343/7443711199/7444657190,7444657190,,,,2023-03-13T01:08:00,2023-03-13T13:25:00,,7443550343,eng,,turkishminute.com,,,,,,,,,,,,,,,,,,,,,,,,,
57,/Event/7443550343/7443711199/7444703897,7444703897,,,,2023-03-13T01:08:00,2023-03-13T13:57:00,,7443550343,eng,,kion546.com,,,,,,,,,,,,,,,,,,,,,,,,,
58,/Event/7443550343/7443730950,7443730950,,,,2023-03-12T21:44:00,2023-03-13T01:30:00,,7443550343,eng,,tass.com,,,,,,,,,,,,,,,,,,,,,,,,,
59,/Event/7443550343/7444036201,7444036201,,SA,C15,2023-03-12T21:44:00,2023-03-13T06:45:00,C9,7443550343,eng,,english.alarabiya.net,,AS,,Muslim,Ara,,AL,,,,,,,,,,,,,,,,,,
60,/Event/7443550343/7444036201/7445573624,7445573624,Saudi-Arabia,CN,C18,2023-03-13T06:45:00,2023-03-14T02:35:00,C9,7443550343,eng,,china.org.cn,,AS,,Irreligion,,,,55.0,64.0,43.0,82.0,56.0,48.0,14.0,56.0,75.0,27.0,54.0,43.0,138.0,163.0,72.0,98.0,105.0,64.0
61,/Event/7443550343/7444055692,7444055692,,QA,C19,2023-03-12T21:44:00,2023-03-13T07:00:00,C9,7443550343,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,AS,,Muslim,Ara,,AL,,,,,,,,,,,,,,,,,,
62,/Event/7443550343/7444055692/7445357264,7445357264,Qatar,CN,C18,2023-03-13T07:00:00,2023-03-13T22:14:00,C9,7443550343,eng,Independent,scmp.com,ChatGPT,AS,,Irreligion,,,,13.0,60.0,26.0,47.0,38.0,25.0,0.0,43.0,48.0,0.0,36.0,55.0,134.0,149.0,93.0,23.0,51.0,80.0
63,/Event/7443550343/7444055692/7445357264/7446042594,7446042594,China,,,2023-03-13T22:14:00,2023-03-14T09:16:00,,7443550343,eng,,tass.com,,,,,,,,24.0,56.0,38.0,74.0,5.0,20.0,24.0,64.0,46.0,87.0,43.0,66.0,139.0,162.0,80.0,86.0,31.0,30.0
64,/Event/7443550343/7444055380,7444055380,,IN,C18,2023-03-12T21:44:00,2023-03-13T07:00:00,C17,7443550343,eng,,news.abplive.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
65,/Event/7443550343/7444055380/7444491764,7444491764,India,,,2023-03-13T07:00:00,2023-03-13T11:45:00,,7443550343,eng,,balkaninsight.com,,,,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
66,/Event/7443550343/7444055380/7445329694,7445329694,India,,,2023-03-13T07:00:00,2023-03-13T21:47:00,,7443550343,eng,,telegraphindia.com,,,,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
67,/Event/7443550343/7444069060,7444069060,,,,2023-03-12T21:44:00,2023-03-13T07:10:00,,7443550343,eng,,rocketnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
68,/Event/7443550343/7444092920,7444092920,,,,2023-03-12T21:44:00,2023-03-13T07:27:00,,7443550343,eng,,themoscowtimes.com,,,,,,,,,,,,,,,,,,,,,,,,,
69,/Event/7443550343/7444113158,7444113158,,IN,C18,2023-03-12T21:44:00,2023-03-13T07:42:00,C17,7443550343,eng,,news18.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
70,/Event/7443550343/7444113158/7444783139,7444783139,India,IN,C18,2023-03-13T07:42:00,2023-03-13T14:44:00,C17,7443550343,eng,,news18.com,,AS,,Hindu,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
71,/Event/7443550343/7444145130,7444145130,,IN,C18,2023-03-12T21:44:00,2023-03-13T08:06:00,C17,7443550343,eng,,firstpost.com,,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
72,/Event/7443550343/7444240381,7444240381,,,,2023-03-12T21:44:00,2023-03-13T09:10:00,,7443550343,eng,,censor.net,,,,,,,,,,,,,,,,,,,,,,,,,
73,/Event/7443550343/7444252727,7444252727,,IN,C18,2023-03-12T21:44:00,2023-03-13T09:18:00,C17,7443550343,eng,Center-left,indianexpress.com,ChatGPT,AS,,Hindu,,,,,,,,,,,,,,,,,,,,,
74,/Event/7443550343/7444252727/7447716979,7447716979,India,,,2023-03-13T09:18:00,2023-03-15T07:22:00,,7443550343,eng,,nationalpost.com,,,,,,,,89.0,106.0,39.0,54.0,112.0,48.0,26.0,70.0,125.0,51.0,84.0,56.0,161.0,112.0,77.0,138.0,124.0,40.0
