,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
26,/Event/7442714159/7442744643/7444129048,7444129048,,,,2023-03-12T08:32:00,2023-03-13T07:54:00,,7442714159,eng,,sowetanlive.co.za,,,,,,,,,,,,,,,,,,,,,,,,,
27,/Event/7442714159/7442744643/7444242180,7444242180,,,,2023-03-12T08:32:00,2023-03-13T09:11:00,,7442714159,eng,,zwnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7442714159/7442744643/7444304403,7444304403,,,,2023-03-12T08:32:00,2023-03-13T09:51:00,,7442714159,eng,,nationalpost.com,,,,,,,,,,,,,,,,,,,,,,,,,
29,/Event/7442714159/7442744643/7444307974,7444307974,,,,2023-03-12T08:32:00,2023-03-13T09:54:00,,7442714159,eng,,devdiscourse.com,,,,,,,,,,,,,,,,,,,,,,,,,
30,/Event/7442714159/7442744643/7444336036,7444336036,,AU,C4,2023-03-12T08:32:00,2023-03-13T10:10:00,C2,7442714159,eng,,au.news.yahoo.com,,AU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,PIF
31,/Event/7442714159/7442744643/7444357898,7444357898,,QA,C19,2023-03-12T08:32:00,2023-03-13T10:23:00,C9,7442714159,eng,pro-Qatari-government-center-right,gulf-times.com,ChatGPT,AS,Ara,,Muslim,,,,,,,,,,,,,,,,,,,,AL
32,/Event/7442714159/7442744643/7444472767,7444472767,,AU,C4,2023-03-12T08:32:00,2023-03-13T11:33:00,C2,7442714159,eng,,thenewdaily.com.au,,AU,Eng,,Christian,,,,,,,,,,,,,,,,,,,,PIF
33,/Event/7442714159/7442744643/7444511456,7444511456,,ZA,C4,2023-03-12T08:32:00,2023-03-13T11:58:00,C17,7442714159,eng,,dailymaverick.co.za,,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
34,/Event/7442714159/7442744643/7444556459,7444556459,,,,2023-03-12T08:32:00,2023-03-13T12:26:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
35,/Event/7442714159/7442744643/7444573365,7444573365,,NG,C12,2023-03-12T08:32:00,2023-03-13T12:34:00,C5,7442714159,eng,,tribuneonlineng.com,,AF,,,Muslim,,,,,,,,,,,,,,,,,,,AfCFTA,AU
36,/Event/7442714159/7442744643/7444576483,7444576483,,QA,C19,2023-03-12T08:32:00,2023-03-13T12:36:00,C9,7442714159,eng,pro-Qatari-government-center-right,gulf-times.com,ChatGPT,AS,Ara,,Muslim,,,,,,,,,,,,,,,,,,,,AL
37,/Event/7442714159/7442744643/7444590584,7444590584,,,,2023-03-12T08:32:00,2023-03-13T12:44:00,,7442714159,eng,,dubaieye1038.com,,,,,,,,,,,,,,,,,,,,,,,,,
38,/Event/7442714159/7442744643/7444590584/7444695926,7444695926,,FR,C14,2023-03-13T12:44:00,2023-03-13T13:49:00,C2,7442714159,eng,,africanews.com,,EU,Fre,NATO,Christian,,,,,,,,,,,,,,,,,,,EU,
39,/Event/7442714159/7442744643/7444590584/7444876898,7444876898,,,,2023-03-13T12:44:00,2023-03-13T15:45:00,,7442714159,eng,,kion546.com,,,,,,,,,,,,,,,,,,,,,,,,,
40,/Event/7442714159/7442744643/7444597189,7444597189,,QA,C19,2023-03-12T08:32:00,2023-03-13T12:49:00,C9,7442714159,eng,pro-Qatari-government-Arab-nationalist,aljazeera.com,ChatGPT,AS,Ara,,Muslim,,,,,,,,,,,,,,,,,,,,AL
41,/Event/7442714159/7442744643/7444609022,7444609022,,USA,C4,2023-03-12T08:32:00,2023-03-13T12:56:00,C2,7442714159,eng,,ibtimes.com,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
42,/Event/7442714159/7442744643/7444656266,7444656266,,IE,C4,2023-03-12T08:32:00,2023-03-13T13:24:00,C2,7442714159,eng,,irishtimes.com,,EU,Eng,,Christian,,,,,,,,,,,,,,,,,,,EU,
43,/Event/7442714159/7442744643/7444682932,7444682932,,,C20,2023-03-12T08:32:00,2023-03-13T13:41:00,C16,7442714159,eng,Center-left,namibian.com.na,ChatGPT,AF,,,Christian,,,,,,,,,,,,,,,,,,,AfCFTA,AU
44,/Event/7442714159/7442744643/7444711933,7444711933,,,,2023-03-12T08:32:00,2023-03-13T13:59:00,,7442714159,eng,,tvcnews.tv,,,,,,,,,,,,,,,,,,,,,,,,,
45,/Event/7442714159/7442744643/7444770009,7444770009,,CN,C18,2023-03-12T08:32:00,2023-03-13T14:36:00,C9,7442714159,eng,,uk.investing.com,,AS,,,Irreligion,,,,,,,,,,,,,,,,,,,,
46,/Event/7442714159/7442744643/7444776824,7444776824,,MY,C18,2023-03-12T08:32:00,2023-03-13T14:40:00,C9,7442714159,eng,Center-right,thestar.com.my,ChatGPT,AS,,,Muslim,,,,,,,,,,,,,,,,,,,ASEAN,
47,/Event/7442714159/7442744643/7444807579,7444807579,,,,2023-03-12T08:32:00,2023-03-13T15:02:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
