,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,militarydefenseblocs,politicalregionalblocs,religions
40,/Event/7444355414/7444475439,7444475439,,RU,C16,2023-03-13T10:24:00,2023-03-13T11:36:00,C12,7444355414,rus,,newizv.ru,,AS,CSTO,CIS,Christian
41,/Event/7444355414/7444478339,7444478339,,,,2023-03-13T10:24:00,2023-03-13T11:38:00,,7444355414,rus,,sportrbc.ru,,,,,
42,/Event/7444355414/7444478342,7444478342,,,,2023-03-13T10:24:00,2023-03-13T11:38:00,,7444355414,rus,,sportrbc.ru,,,,,
43,/Event/7444355414/7444483256,7444483256,,,,2023-03-13T10:24:00,2023-03-13T11:40:00,,7444355414,rus,,tass.ru,,,,,
44,/Event/7444355414/7444484374,7444484374,,KG,,2023-03-13T10:24:00,2023-03-13T11:40:00,C20,7444355414,rus,,kabar.kg,,AS,CSTO,CIS,Muslim
45,/Event/7444355414/7444490158,7444490158,,RU,C16,2023-03-13T10:24:00,2023-03-13T11:44:00,C12,7444355414,rus,,life.ru,,AS,CSTO,CIS,Christian
46,/Event/7444355414/7444487879,7444487879,,,,2023-03-13T10:24:00,2023-03-13T11:44:00,,7444355414,rus,,matchtv.ru,,,,,
47,/Event/7444355414/7444499119,7444499119,,,,2023-03-13T10:24:00,2023-03-13T11:49:00,,7444355414,rus,,news.sportbox.ru,,,,,
48,/Event/7444355414/7444502455,7444502455,,,,2023-03-13T10:24:00,2023-03-13T11:52:00,,7444355414,rus,,golfstriminform.ru,,,,,
49,/Event/7444355414/7444503653,7444503653,,RU,C16,2023-03-13T10:24:00,2023-03-13T11:52:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
50,/Event/7444355414/7444505959,7444505959,,,,2023-03-13T10:24:00,2023-03-13T11:53:00,,7444355414,rus,,rossaprimavera.ru,,,,,
51,/Event/7444355414/7444509683,7444509683,,,,2023-03-13T10:24:00,2023-03-13T11:56:00,,7444355414,rus,,sports.ru,,,,,
52,/Event/7444355414/7444514106,7444514106,,,,2023-03-13T10:24:00,2023-03-13T11:58:00,,7444355414,rus,,rg.ru,,,,,
53,/Event/7444355414/7444523471,7444523471,,,,2023-03-13T10:24:00,2023-03-13T12:04:00,,7444355414,rus,,matchtv.ru,,,,,
54,/Event/7444355414/7444526111,7444526111,,,,2023-03-13T10:24:00,2023-03-13T12:06:00,,7444355414,rus,,sport.24tv.ua,,,,,
55,/Event/7444355414/7444525690,7444525690,,,,2023-03-13T10:24:00,2023-03-13T12:06:00,,7444355414,rus,,avesta.tj,,,,,
56,/Event/7444355414/7444529033,7444529033,,,,2023-03-13T10:24:00,2023-03-13T12:07:00,,7444355414,rus,,championat.com,,,,,
57,/Event/7444355414/7444539121,7444539121,,,,2023-03-13T10:24:00,2023-03-13T12:13:00,,7444355414,rus,,news.sportbox.ru,,,,,
58,/Event/7444355414/7444542245,7444542245,,,,2023-03-13T10:24:00,2023-03-13T12:15:00,,7444355414,rus,,kp.ru,,,,,
59,/Event/7444355414/7444554392,7444554392,,,,2023-03-13T10:24:00,2023-03-13T12:23:00,,7444355414,rus,,fontanka.ru,,,,,
60,/Event/7444355414/7444560925,7444560925,,,,2023-03-13T10:24:00,2023-03-13T12:26:00,,7444355414,rus,,vsesmi.ru,,,,,
61,/Event/7444355414/7444562458,7444562458,,RU,C16,2023-03-13T10:24:00,2023-03-13T12:27:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
62,/Event/7444355414/7444558916,7444558916,,,,2023-03-13T10:24:00,2023-03-13T12:27:00,,7444355414,rus,,matchtv.ru,,,,,
63,/Event/7444355414/7444572519,7444572519,,RU,C16,2023-03-13T10:24:00,2023-03-13T12:34:00,C12,7444355414,rus,,sport-express.ru,,AS,CSTO,CIS,Christian
64,/Event/7444355414/7444582716,7444582716,,,,2023-03-13T10:24:00,2023-03-13T12:41:00,,7444355414,rus,,tsn.ua,,,,,
65,/Event/7444355414/7444586923,7444586923,,,,2023-03-13T10:24:00,2023-03-13T12:42:00,,7444355414,rus,,sports.ru,,,,,
66,/Event/7444355414/7444588132,7444588132,,,,2023-03-13T10:24:00,2023-03-13T12:43:00,,7444355414,rus,,championat.com,,,,,
67,/Event/7444355414/7444591603,7444591603,,RU,C16,2023-03-13T10:24:00,2023-03-13T12:46:00,C12,7444355414,rus,,sport-express.ru,,AS,CSTO,CIS,Christian
68,/Event/7444355414/7444615410,7444615410,,,,2023-03-13T10:24:00,2023-03-13T13:00:00,,7444355414,rus,,news.sportbox.ru,,,,,
69,/Event/7444355414/7444619345,7444619345,,,,2023-03-13T10:24:00,2023-03-13T13:03:00,,7444355414,rus,,championat.com,,,,,
70,/Event/7444355414/7444623291,7444623291,,,,2023-03-13T10:24:00,2023-03-13T13:05:00,,7444355414,rus,,rsport.ria.ru,,,,,
71,/Event/7444355414/7444636884,7444636884,,,,2023-03-13T10:24:00,2023-03-13T13:13:00,,7444355414,rus,,news.sportbox.ru,,,,,
72,/Event/7444355414/7444637205,7444637205,,,,2023-03-13T10:24:00,2023-03-13T13:13:00,,7444355414,rus,,bb.lv,,,,,
73,/Event/7444355414/7444647306,7444647306,,,,2023-03-13T10:24:00,2023-03-13T13:19:00,,7444355414,rus,,gazeta.ru,,,,,
74,/Event/7444355414/7444651590,7444651590,,,,2023-03-13T10:24:00,2023-03-13T13:22:00,,7444355414,rus,,championat.com,,,,,
75,/Event/7444355414/7444659079,7444659079,,,,2023-03-13T10:24:00,2023-03-13T13:26:00,,7444355414,rus,,rus.ozodi.org,,,,,
76,/Event/7444355414/7444674257,7444674257,,,,2023-03-13T10:24:00,2023-03-13T13:36:00,,7444355414,rus,,tass.ru,,,,,
77,/Event/7444355414/7444693963,7444693963,,,,2023-03-13T10:24:00,2023-03-13T13:48:00,,7444355414,rus,,championat.com,,,,,
78,/Event/7444355414/7444701780,7444701780,,RU,C16,2023-03-13T10:24:00,2023-03-13T13:53:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
79,/Event/7444355414/7444705970,7444705970,,,,2023-03-13T10:24:00,2023-03-13T13:55:00,,7444355414,rus,,nakanune.ru,,,,,
80,/Event/7444355414/7444737723,7444737723,,,,2023-03-13T10:24:00,2023-03-13T14:14:00,,7444355414,rus,,fergana.agency,,,,,
81,/Event/7444355414/7444742234,7444742234,,,,2023-03-13T10:24:00,2023-03-13T14:17:00,,7444355414,rus,,sovsport.ru,,,,,
82,/Event/7444355414/7444766111,7444766111,,RU,C16,2023-03-13T10:24:00,2023-03-13T14:33:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
83,/Event/7444355414/7444816865,7444816865,,RU,C16,2023-03-13T10:24:00,2023-03-13T15:06:00,C12,7444355414,rus,,russian.rt.com,,AS,CSTO,CIS,Christian
84,/Event/7444355414/7444818730,7444818730,,,,2023-03-13T10:24:00,2023-03-13T15:07:00,,7444355414,rus,,tass.ru,,,,,
85,/Event/7444355414/7444836589,7444836589,,RU,C16,2023-03-13T10:24:00,2023-03-13T15:17:00,C12,7444355414,rus,,sport-express.ru,,AS,CSTO,CIS,Christian
86,/Event/7444355414/7444835419,7444835419,,,,2023-03-13T10:24:00,2023-03-13T15:18:00,,7444355414,rus,,matchtv.ru,,,,,
87,/Event/7444355414/7444848596,7444848596,,,,2023-03-13T10:24:00,2023-03-13T15:25:00,,7444355414,rus,,championat.com,,,,,
88,/Event/7444355414/7444864550,7444864550,,,,2023-03-13T10:24:00,2023-03-13T15:35:00,,7444355414,rus,,matchtv.ru,,,,,
89,/Event/7444355414/7444871792,7444871792,,,,2023-03-13T10:24:00,2023-03-13T15:40:00,,7444355414,rus,,tvzvezda.ru,,,,,
