,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,continent,religions,economicblocs,linguisticblocs,militarydefenseblocs,politicalregionalblocs
26,/Event/7444071845/7444110711,7444110711,,EG,C19,2023-03-13T07:13:00,2023-03-13T07:40:00,C5,7444071845,eng,Uncertain,english.ahram.org.eg,https:en.wikipedia.orgwikiAl-Ahram,,,,,,,,,,,,,,,,,,,AF,Muslim,AfCFTA,Ara,,AU
27,/Event/7444071845/7444126483,7444126483,,,,2023-03-13T07:13:00,2023-03-13T07:52:00,,7444071845,eng,,daily-sun.com,,,,,,,,,,,,,,,,,,,,,,,,,
28,/Event/7444071845/7444144124,7444144124,,ZA,C4,2023-03-13T07:13:00,2023-03-13T08:05:00,C17,7444071845,eng,,news24.com,,,,,,,,,,,,,,,,,,,,AF,Christian,AfCFTA,,,AU
29,/Event/7444071845/7444156740,7444156740,,ZA,C4,2023-03-13T07:13:00,2023-03-13T08:13:00,C17,7444071845,eng,,enca.com,,,,,,,,,,,,,,,,,,,,AF,Christian,AfCFTA,,,AU
30,/Event/7444071845/7444343434,7444343434,,IE,C4,2023-03-13T07:13:00,2023-03-13T10:14:00,C2,7444071845,eng,,thejournal.ie,,,,,,,,,,,,,,,,,,,,EU,Christian,EU,Eng,,
31,/Event/7444071845/7445273092,7445273092,,,,2023-03-13T07:13:00,2023-03-13T20:52:00,,7444071845,eng,,digitaljournal.com,,,,,,,,,,,,,,,,,,,,,,,,,
32,/Event/7444071845/7445270309,7445270309,,,,2023-03-13T07:13:00,2023-03-13T20:53:00,,7444071845,eng,,sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
33,/Event/7444071845/7445293145,7445293145,,UK,C4,2023-03-13T07:13:00,2023-03-13T21:10:00,C2,7444071845,eng,,phys.org,,,,,,,,,,,,,,,,,,,,EU,Christian,,Eng,NATO,
34,/Event/7444071845/7445379851,7445379851,,PH,C18,2023-03-13T07:13:00,2023-03-13T22:44:00,C18,7444071845,eng,Center-right,manilatimes.net,ChatGPT,,,,,,,,,,,,,,,,,,,AS,Christian,ASEAN,,,
35,/Event/7444071845/7445559804,7445559804,,SG,C18,2023-03-13T07:13:00,2023-03-14T02:18:00,C2,7444071845,eng,Center-right,straitstimes.com,ChatGPT,,,,,,,,,,,,,,,,,,,AS,Buddhist,ASEAN,,,
