source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
andes.info.ec,"Argentina-Bolivia-Chile-Colobia-Ecuador-Peru-Venezuela",unknown,unknown,unknown,unknown,unknown
caras.perfil.com,"Argentina-Brazil-Portugal-Uruguay",Spanish-Portuguese,unknown,unknown,unknown,unknown
diariospatagonicos.com.ar,Argentine,Spanish,Centre-Right,https://en.wikipedia.org/wiki/Diario_R%C3%ADo_Negro,unknown,unknown
aravot-en.am,Armenia,"Armenian,-Russian,-and-English","Liberal-independent",https://en.wikipedia.org/wiki/Aravot,C16,C4
hetq.am,Armenia,unknown,n-partisan,https://en.wikipedia.org/wiki/Hetq,C16,C4
armenianow.com,Armenia,"English-Armenian",unknown,unknown,C16,C4
golosarmenii.am,Armenia,Russian-language,unknown,unknown,C16,C4
armenpress.am,Armenia,unknown,unknown,unknown,C16,C4
en.a1plus.am,Armenia,unknown,unknown,unknown,C16,C4
evnreport.com,Armenia,unknown,unknown,unknown,C16,C4
news.am,Armenia,unknown,unknown,unknown,C16,C4
panarmenian.net,Armenia,unknown,unknown,unknown,C16,C4
greenleft.org.au,Australia,English,Leftwing-cosocialist-Anticapitalist-Feminist,https://en.wikipedia.org/wiki/Green_Left_(Australian_newspaper),C4,C2
ntnews.com.au,Australia,unknown,Centre-right-syncretic,https://en.wikipedia.org/wiki/rthern_Territory_News,C4,C2
cn.theaustralian.com.au,Australia,unknown,Centreright,https://en.wikipedia.org/wiki/The_Australian,C4,C2
businessnews.com.tn,Australia,English,unknown,unknown,C4,C2
fr.news-front.info,Australia,English,unknown,unknown,C4,C2
gaynewsnetwork.com.au,Australia,English,unknown,unknown,C4,C2
goldcoastbulletin.com.au,Australia,English,unknown,unknown,C4,C2
inpress.ua,Australia,English,unknown,unknown,C4,C2
maitlandmercury.com.au,Australia,English,unknown,unknown,C4,C2
musicfeeds.com.au,Australia,English,unknown,unknown,C4,C2
newidea.com.au,Australia,English,unknown,unknown,C4,C2
sciencealert.com,Australia,English,unknown,unknown,C4,C2
sheppnews.com.au,Australia,English,unknown,unknown,C4,C2
theland.com.au,Australia,English,unknown,unknown,C4,C2
themandarin.com.au,Australia,English,unknown,unknown,C4,C2
townsvillebulletin.com.au,Australia,English,unknown,unknown,C4,C2
warwickdailynews.com.au,Australia,English,unknown,unknown,C4,C2
9now.nine.com.au,Australia,unknown,unknown,unknown,C4,C2
aap.com.au,Australia,unknown,unknown,unknown,C4,C2
adelaidenow.com.au,Australia,unknown,unknown,unknown,C4,C2
adnews.com.au,Australia,unknown,unknown,unknown,C4,C2
areanews.com.au,Australia,unknown,unknown,unknown,C4,C2
au.news.yahoo.com,Australia,unknown,unknown,unknown,C4,C2
bellingencourier.com.au,Australia,unknown,unknown,unknown,C4,C2
bendigoadvertiser.com.au,Australia,unknown,unknown,unknown,C4,C2
bordermail.com.au,Australia,unknown,unknown,unknown,C4,C2
brisbanetimes.com.au,Australia,unknown,unknown,unknown,C4,C2
canberratimes.com.au,Australia,unknown,unknown,unknown,C4,C2
caradvice.com.au,Australia,unknown,unknown,unknown,C4,C2
catholicleader.com.au,Australia,unknown,unknown,unknown,C4,C2
centralwesterndaily.com.au,Australia,unknown,unknown,unknown,C4,C2
channelnews.com.au,Australia,unknown,unknown,unknown,C4,C2
couriermail.com.au,Australia,unknown,unknown,unknown,C4,C2
crikey.com.au,Australia,unknown,unknown,unknown,C4,C2
dailyadvertiser.com.au,Australia,unknown,unknown,unknown,C4,C2
dailyliberal.com.au,Australia,unknown,unknown,unknown,C4,C2
dailytelegraph.com.au,Australia,unknown,unknown,unknown,C4,C2
domain.com.au,Australia,unknown,unknown,unknown,C4,C2
espn.com.au,Australia,unknown,unknown,unknown,C4,C2
examiner.com.au,Australia,unknown,unknown,unknown,C4,C2
farmweekly.com.au,Australia,unknown,unknown,unknown,C4,C2
finance.nine.com.au,Australia,unknown,unknown,unknown,C4,C2
foxsports.com.au,Australia,unknown,unknown,unknown,C4,C2
gearsofbiz.com,Australia,unknown,unknown,unknown,C4,C2
geelongadvertiser.com.au,Australia,unknown,unknown,unknown,C4,C2
heraldsun.com.au,Australia,unknown,unknown,unknown,C4,C2
indaily.com.au,Australia,unknown,unknown,unknown,C4,C2
lifehacker.com.au,Australia,unknown,unknown,unknown,C4,C2
news.shm.com.cn,Australia,unknown,unknown,unknown,C4,C2
perthnow.com.au,Australia,unknown,unknown,unknown,C4,C2
racing-1.com,Australia,unknown,unknown,unknown,C4,C2
sbs.com.au,Australia,unknown,unknown,unknown,C4,C2
seychellesnewsagency.com,Australia,unknown,unknown,unknown,C4,C2
smh.com.au,Australia,unknown,unknown,unknown,C4,C2
standard.net.au,Australia,unknown,unknown,unknown,C4,C2
stockandland.com.au,Australia,unknown,unknown,unknown,C4,C2
sunraysiadaily.com.au,Australia,unknown,unknown,unknown,C4,C2
tenplay.com.au,Australia,unknown,unknown,unknown,C4,C2
theadvocate.com.au,Australia,unknown,unknown,unknown,C4,C2
theage.com.au,Australia,unknown,unknown,unknown,C4,C2
theaustralian.com.au,Australia,unknown,unknown,unknown,C4,C2
theconversation.com,Australia,unknown,unknown,unknown,C4,C2
theherald.com.au,Australia,unknown,unknown,unknown,C4,C2
theleader.com.au,Australia,unknown,unknown,unknown,C4,C2
themercury.com,Australia,unknown,unknown,unknown,C4,C2
themercury.com.au,Australia,unknown,unknown,unknown,C4,C2
thenewdaily.com.au,Australia,unknown,unknown,unknown,C4,C2
theroar.com.au,Australia,unknown,unknown,unknown,C4,C2
treasuryandrisk.com,Australia,unknown,unknown,unknown,C4,C2
truth-out.org,Australia,unknown,unknown,unknown,C4,C2
tv1.ba,Australia,unknown,unknown,unknown,C4,C2
tvweek.com,Australia,unknown,unknown,unknown,C4,C2
watoday.com.au,Australia,unknown,unknown,unknown,C4,C2
wwos.nine.com.au,Australia,unknown,unknown,unknown,C4,C2
money.oe24.at,Austria,German,Conservatism,https://en.wikipedia.org/wiki/%C3%96sterreich_(newspaper),C5,C2
futter.kleinezeitung.at,Austria,unknown,Centerright,https://en.wikipedia.org/wiki/Kleine_Zeitung,C5,C2
volksblatt.at,Austria,German,"Conservatism-Christian-Democratic-Austrian-People's-Party",https://en.wikipedia.org/wiki/Neues_Volksblatt,C5,C2
derstandard.at,Austria,unknown,unknown,unknown,C5,C2
diepresse.com,Austria,unknown,unknown,unknown,C5,C2
krone.at,Austria,unknown,unknown,unknown,C5,C2
laola1.at,Austria,unknown,unknown,unknown,C5,C2
orf.at,Austria,unknown,unknown,unknown,C5,C2
sport.orf.at,Austria,unknown,unknown,unknown,C5,C2
vienna.at,Austria,unknown,unknown,unknown,C5,C2
vorarlbergernachrichten.at,Austria,unknown,unknown,unknown,C5,C2
wienerzeitung.at,Austria,unknown,unknown,unknown,C5,C2
azernews.az,Azerbaijan,unknown,unknown,unknown,C16,C9
en.trend.az,Azerbaijan,unknown,unknown,unknown,C16,C9
trend.az,Azerbaijan,unknown,unknown,unknown,C16,C9
thenassauguardian.com,Bahamas,unknown,unknown,unknown,unknown,unknown
alwasat.ly,Bahrain,Arabic,Independent,https://en.wikipedia.org/wiki/Al-Wasat_(Bahraini_newspaper),unknown,C9
tradearabia.com,Bahrain,unknown,unknown,unknown,unknown,C9
nationthailand.com,Bangkok,English,unknown,unknown,unknown,unknown
samakal.net,Bangladesh,Bengali,Liberal,https://en.wikipedia.org/wiki/Samakal,C20,C5
banglanews24.com,Bangladesh,Bengali-and-English,unknown,unknown,C20,C5
thedailystar.net,Bangladesh,English,unknown,unknown,C20,C5
thefinancialexpress.com.bd,Bangladesh,English,unknown,unknown,C20,C5
theindependentbd.com,Bangladesh,English,unknown,unknown,C20,C5
bssnews.net,Bangladesh,unknown,unknown,unknown,C20,C5
southasianmedia.net,Bangladesh,unknown,unknown,unknown,C20,C5
thefinancialexpress-bd.com,Bangladesh,unknown,unknown,unknown,C20,C5
